,Actual,Date,Forecasted
2003-08-15,0.36780013879250517,2003-08-15,0.41721203923225403
2003-08-18,0.40372670807453415,2003-08-18,0.40357354283332825
2003-08-19,0.40622837370242215,2003-08-19,0.40557247400283813
2003-08-20,0.4806201550387599,2003-08-20,0.4333479404449463
2003-08-21,0.5086986778009743,2003-08-21,0.41697046160697937
2003-08-22,0.5818181818181818,2003-08-22,0.5625525116920471
2003-08-25,0.536082474226804,2003-08-25,0.5236421227455139
2003-08-26,0.572068707991038,2003-08-26,0.55427086353302
2003-08-27,0.6223564954682779,2003-08-27,0.5804550051689148
2003-08-28,0.6913109756097564,2003-08-28,0.6045084595680237
2003-08-29,0.7207001522070013,2003-08-29,0.6139722466468811
2003-09-02,0.6913397483345671,2003-09-02,0.5824913382530212
2003-09-03,0.6899852724594993,2003-09-03,0.5908545851707458
2003-09-04,0.6986607142857142,2003-09-04,0.6260281205177307
2003-09-05,0.6853932584269664,2003-09-05,0.6544594764709473
2003-09-08,0.6406926406926408,2003-09-08,0.6060842275619507
2003-09-09,0.5910384068278804,2003-09-09,0.5951765179634094
2003-09-10,0.559774964838256,2003-09-10,0.5861645936965942
2003-09-11,0.5710306406685237,2003-09-11,0.5765101313591003
2003-09-12,0.5986159169550174,2003-09-12,0.5718021392822266
2003-09-15,0.38036047234307024,2003-09-15,0.40593966841697693
2003-09-16,0.2777142857142856,2003-09-16,0.2848198115825653
2003-09-17,0.253257790368272,2003-09-17,0.2743598520755768
2003-09-18,0.2711111111111111,2003-09-18,0.24699187278747559
2003-09-19,0.23387978142076493,2003-09-19,0.22574059665203094
2003-09-22,0.18965517241379315,2003-09-22,0.20797498524188995
2003-09-23,0.2013926084627744,2003-09-23,0.19964423775672913
2003-09-24,0.14932614555256052,2003-09-24,0.20767204463481903
2003-09-25,0.09076348104644949,2003-09-25,0.1911662518978119
2003-09-26,0.10053191489361701,2003-09-26,0.17792361974716187
2003-09-29,0.17679558011049723,2003-09-29,0.21735110878944397
2003-09-30,0.16469926925238898,2003-09-30,0.2311425507068634
2003-10-01,0.16470588235294104,2003-10-01,0.21650025248527527
2003-10-02,0.12774122807017552,2003-10-02,0.1785930097103119
2003-10-03,0.18395196506550215,2003-10-03,0.16384270787239075
2003-10-06,0.18061440677966112,2003-10-06,0.12143582105636597
