,Actual,Date,Forecasted
2013-02-25,0.07624362027900644,2013-02-25,0.07413320243358612
2013-02-26,0.07749897722623755,2013-02-26,0.07763135433197021
2013-02-27,0.08353948826610358,2013-02-27,0.06955592334270477
2013-02-28,0.08054161946377514,2013-02-28,0.06516646593809128
2013-03-01,0.08946066838741062,2013-03-01,0.06935948878526688
2013-03-04,0.1358506740407881,2013-03-04,0.09925153851509094
2013-03-05,0.15680686411101785,2013-03-05,0.10292543470859528
2013-03-06,0.16246032522826082,2013-03-06,0.13024143874645233
2013-03-07,0.17049429230163637,2013-03-07,0.1474606841802597
2013-03-08,0.18028133028629822,2013-03-08,0.16825927793979645
2013-03-11,0.18773030574643967,2013-03-11,0.17759718000888824
2013-03-12,0.11612946729602158,2013-03-12,0.11764296144247055
2013-03-13,0.09482244007269536,2013-03-13,0.10007749497890472
2013-03-14,0.09005267557419039,2013-03-14,0.09998725354671478
2013-03-15,0.08468024456195966,2013-03-15,0.10188495367765427
2013-03-18,0.07179439549941624,2013-03-18,0.09199494123458862
2013-03-19,0.0762638791239405,2013-03-19,0.08446861803531647
2013-03-20,0.07809816194471275,2013-03-20,0.07478763908147812
2013-03-21,0.04597730789066534,2013-03-21,0.040235258638858795
2013-03-22,0.06757397697030387,2013-03-22,0.06121478229761124
2013-03-25,0.05733016428552773,2013-03-25,0.048313841223716736
2013-03-26,0.05485801835958304,2013-03-26,0.03991490602493286
2013-03-27,0.03709541960074936,2013-03-27,0.033962272107601166
2013-03-28,0.011227828921400063,2013-03-28,0.01637049950659275
2013-04-01,0.023989673065617056,2013-04-01,0.017552437260746956
2013-04-02,0.04142436275137684,2013-04-02,0.017562136054039
2013-04-03,0.029816314538998023,2013-04-03,0.015012582764029503
2013-04-04,0.009202609733187872,2013-04-04,0.008965336717665195
2013-04-05,-0.01241029651023473,2013-04-05,0.0009237043559551239
2013-04-08,-0.03966040775856727,2013-04-08,-0.02208065055310726
2013-04-09,-0.018688640436110404,2013-04-09,-0.009613735601305962
2013-04-10,-0.0067250763641849565,2013-04-10,-0.021238820627331734
2013-04-11,-0.011654224656438061,2013-04-11,-0.03128773719072342
2013-04-12,-0.0009105049508707497,2013-04-12,-0.02165929414331913
2013-04-15,-0.010378039056864075,2013-04-15,-0.02170918695628643
